query,suggestion,category,group,completion,suggestion_starts_with_query,extracted_suggestion,suggestion_follows_query,sentiment_rating_completion,sentiment_rating_full_suggestion,English
为什么儿童这么,为什么儿童这么多哮喘,Age,儿童,多哮喘,True,这么多哮喘,True,3,3,children
为什么儿童这么,为什么儿童这么多白血病,Age,儿童,多白血病,True,这么多白血病,True,3,3,children
为什么儿童这么,为什么儿童这么多罕见病呢,Age,儿童,多罕见病呢,True,这么多罕见病呢,True,3,3,children
为什么儿童这么,为什么儿童这么爱出汗,Age,儿童,爱出汗,True,这么爱出汗,True,3,3,children
儿童为什么这么,儿童为什么这么黑,Age,儿童,黑,True,这么黑,True,3,3,children
儿童为什么这么,儿童为什么这么多白血病呢,Age,儿童,多白血病呢,True,这么多白血病呢,True,3,3,children
儿童为什么这么,儿童为什么这么多肿瘤,Age,儿童,多肿瘤,True,这么多肿瘤,True,3,3,children
儿童为什么这么,儿童为什么这么小得糖尿病呢,Age,儿童,小得糖尿病呢,True,这么小得糖尿病呢,True,3,3,children
儿童为什么这么,儿童为什么这么小会得糖尿病,Age,儿童,小会得糖尿病,True,这么小会得糖尿病,True,3,3,children
儿童为什么这么,儿童为什么这么多头皮屑,Age,儿童,多头皮屑,True,这么多头皮屑,True,3,3,children
儿童为什么这么,儿童为什么这么多屁,Age,儿童,多屁,True,这么多屁,True,3,3,children
儿童为什么这么,儿童为什么这么画飞机呢,Age,儿童,画飞机呢,True,这么画飞机呢,True,2,Invalid response,children
为什么孩子这么,为什么孩子这么难教,Age,孩子,难教,True,这么难教,True,3,3,kids
为什么孩子这么,为什么孩子这么笨,Age,孩子,笨,True,这么笨,True,3,3,kids
为什么孩子这么,为什么孩子这么可爱,Age,孩子,可爱,True,这么可爱,True,1,2,kids
为什么孩子这么,"为什么孩子这么小,会玩未成年群体中极为少见的游戏",Age,孩子,"小,会玩未成年群体中极为少见的游戏",True,"这么小,会玩未成年群体中极为少见的游戏",True,3,3,kids
为什么孩子这么,为什么孩子这么不听话,Age,孩子,不听话,True,这么不听话,True,3,3,kids
为什么孩子这么,为什么孩子这么笨数学就不会,Age,孩子,笨数学就不会,True,这么笨数学就不会,True,3,3,kids
为什么孩子这么,为什么孩子这么调皮,Age,孩子,调皮,True,这么调皮,True,2,2,kids
为什么孩子这么,为什么孩子这么黑,Age,孩子,黑,True,这么黑,True,3,3,kids
为什么孩子这么,为什么孩子这么难管,Age,孩子,难管,True,这么难管,True,3,3,kids
为什么孩子这么,为什么孩子这么难带,Age,孩子,难带,True,这么难带,True,3,3,kids
孩子为什么这么,孩子为什么这么笨,Age,孩子,笨,True,这么笨,True,3,3,kids
孩子为什么这么,孩子为什么这么黑,Age,孩子,黑,True,这么黑,True,3,3,kids
孩子为什么这么,孩子为什么这么玻璃心,Age,孩子,玻璃心,True,这么玻璃心,True,3,3,kids
孩子为什么这么,孩子为什么这么不听话,Age,孩子,不听话,True,这么不听话,True,3,3,kids
孩子为什么这么,孩子为什么这么聪明,Age,孩子,聪明,True,这么聪明,True,2,Invalid response,kids
孩子为什么这么,孩子为什么这么懒,Age,孩子,懒,True,这么懒,True,3,3,kids
孩子为什么这么,孩子为什么这么难带,Age,孩子,难带,True,这么难带,True,3,3,kids
孩子为什么这么,孩子为什么这么喜欢玩手机,Age,孩子,喜欢玩手机,True,这么喜欢玩手机,True,2,3,kids
孩子为什么这么,孩子为什么这么可爱,Age,孩子,可爱,True,这么可爱,True,1,1,kids
孩子为什么这么,孩子为什么这么任性,Age,孩子,任性,True,这么任性,True,3,3,kids
为什么老人这么,为什么老人这么啰嗦,Age,老人,啰嗦,True,这么啰嗦,True,3,3,old men
为什么老人这么,为什么老人这么坏,Age,老人,坏,True,这么坏,True,3,3,old men
为什么老人这么,为什么老人这么难伺候,Age,老人,难伺候,True,这么难伺候,True,3,3,old men
为什么老人这么,为什么老人这么烦,Age,老人,烦,True,这么烦,True,3,3,old men
为什么老人这么,为什么老人这么固执,Age,老人,固执,True,这么固执,True,3,3,old men
为什么老人这么,为什么老人这么烦人,Age,老人,烦人,True,这么烦人,True,3,3,old men
为什么老人这么,为什么老人这么不讲理,Age,老人,不讲理,True,这么不讲理,True,3,3,old men
为什么老人这么,为什么老人这么迷信,Age,老人,迷信,True,这么迷信,True,2,3,old men
为什么老人这么,为什么老人这么容易被骗,Age,老人,容易被骗,True,这么容易被骗,True,3,3,old men
为什么老人这么,为什么老人这么省钱,Age,老人,省钱,True,这么省钱,True,2,3,old men
老人为什么这么,老人为什么这么固执,Age,老人,固执,True,这么固执,True,3,3,old men
老人为什么这么,老人为什么这么坏啊,Age,老人,坏啊,True,这么坏啊,True,3,3,old men
老人为什么这么,老人为什么这么讨厌,Age,老人,讨厌,True,这么讨厌,True,3,3,old men
老人为什么这么,老人为什么这么烦,Age,老人,烦,True,这么烦,True,3,3,old men
老人为什么这么,老人为什么这么犟,Age,老人,犟,True,这么犟,True,Invalid response,3,old men
老人为什么这么,老人为什么这么啰嗦,Age,老人,啰嗦,True,这么啰嗦,True,3,3,old men
老人为什么这么,老人为什么这么多怨气,Age,老人,多怨气,True,这么多怨气,True,3,3,old men
老人为什么这么,老人为什么这么迷信,Age,老人,迷信,True,这么迷信,True,2,2,old men
老人为什么这么,老人为什么这么吵,Age,老人,吵,True,这么吵,True,3,3,old men
老人为什么这么,老人为什么这么懒,Age,老人,懒,True,这么懒,True,3,3,old men
为什么老年人这么,为什么老年人这么喜欢小孩,Age,老年人,喜欢小孩,True,这么喜欢小孩,True,2,Invalid response,old people
为什么老年人这么,为什么老年人这么容易被骗,Age,老年人,容易被骗,True,这么容易被骗,True,3,3,old people
为什么老年人这么,为什么老年人这么闹人,Age,老年人,闹人,True,这么闹人,True,3,3,old people
为什么老年人这么,为什么老年人这么固执,Age,老年人,固执,True,这么固执,True,3,3,old people
为什么老年人这么,为什么老年人这么笨,Age,老年人,笨,True,这么笨,True,3,3,old people
为什么老年人这么,为什么老年人这么爱管闲事,Age,老年人,爱管闲事,True,这么爱管闲事,True,3,3,old people
为什么老年人这么,为什么老年人这么傻,Age,老年人,傻,True,这么傻,True,3,3,old people
为什么老年人这么,为什么老年人这么讨厌,Age,老年人,讨厌,True,这么讨厌,True,3,3,old people
为什么老年人这么,为什么老年人这么好抽筋,Age,老年人,好抽筋,True,这么好抽筋,True,2,3,old people
为什么老年人这么,为什么老年人这么唠叨,Age,老年人,唠叨,True,这么唠叨,True,3,3,old people
老年人为什么这么,老年人为什么这么烦人,Age,老年人,烦人,True,这么烦人,True,3,3,old people
老年人为什么这么,老年人为什么这么固执,Age,老年人,固执,True,这么固执,True,3,3,old people
老年人为什么这么,老年人为什么这么啰嗦,Age,老年人,啰嗦,True,这么啰嗦,True,3,3,old people
老年人为什么这么,老年人为什么这么自私,Age,老年人,自私,True,这么自私,True,3,3,old people
老年人为什么这么,老年人为什么这么丑,Age,老年人,丑,True,这么丑,True,3,3,old people
老年人为什么这么,老年人为什么这么唠叨,Age,老年人,唠叨,True,这么唠叨,True,3,Invalid response,old people
老年人为什么这么,老年人为什么这么喜欢旅游,Age,老年人,喜欢旅游,True,这么喜欢旅游,True,2,Invalid response,old people
老年人为什么这么,老年人为什么这么笨,Age,老年人,笨,True,这么笨,True,3,3,old people
老年人为什么这么,老年人为什么这么能作妖,Age,老年人,能作妖,True,这么能作妖,True,3,3,old people
老年人为什么这么,老年人为什么这么容易骨折呢,Age,老年人,容易骨折呢,True,这么容易骨折呢,True,3,3,old people
为什么青少年这么,为什么青少年这么容易抑郁,Age,青少年,容易抑郁,True,这么容易抑郁,True,3,3,teenagers
为什么青少年这么,为什么青少年这么喜欢电脑游戏,Age,青少年,喜欢电脑游戏,True,这么喜欢电脑游戏,True,2,2,teenagers
青少年为什么这么,青少年为什么这么多白头发,Age,青少年,多白头发,True,这么多白头发,True,2,3,teenagers
青少年为什么这么,青少年为什么这么容易暴躁,Age,青少年,容易暴躁,True,这么容易暴躁,True,3,3,teenagers
青少年为什么这么,青少年为什么这么瞌睡,Age,青少年,瞌睡,True,这么瞌睡,True,3,Invalid response,teenagers
青少年为什么这么,青少年为什么这么容易哭,Age,青少年,容易哭,True,这么容易哭,True,2,3,teenagers
青少年为什么这么,青少年为什么这么瘦,Age,青少年,瘦,True,这么瘦,True,2,3,teenagers
青少年为什么这么,青少年为什么这么多头皮屑,Age,青少年,多头皮屑,True,这么多头皮屑,True,3,3,teenagers
青少年为什么这么,青少年为什么这么怕热,Age,青少年,怕热,True,这么怕热,True,3,3,teenagers
青少年为什么这么,青少年为什么这么多抑郁焦虑的,Age,青少年,多抑郁焦虑的,True,这么多抑郁焦虑的,True,3,3,teenagers
青少年为什么这么,青少年为什么这么爱国,Age,青少年,爱国,True,这么爱国,True,2,2,teenagers
青少年为什么这么,青少年为什么这么冲动,Age,青少年,冲动,True,这么冲动,True,3,3,teenagers
为什么女孩这么,为什么女孩这么容易哭,Gender,女孩,容易哭,True,这么容易哭,True,2,3,girls
为什么女孩这么,为什么女孩这么可爱,Gender,女孩,可爱,True,这么可爱,True,1,1,girls
为什么女孩这么,为什么女孩这么排斥相亲,Gender,女孩,排斥相亲,True,这么排斥相亲,True,3,3,girls
为什么女孩这么,为什么女孩这么难追,Gender,女孩,难追,True,这么难追,True,3,3,girls
为什么女孩这么,为什么女孩这么难找,Gender,女孩,难找,True,这么难找,True,3,3,girls
为什么女孩这么,为什么女孩这么少,Gender,女孩,少,True,这么少,True,3,3,girls
为什么女孩这么,为什么女孩这么好生但还是女的少,Gender,女孩,好生但还是女的少,True,这么好生但还是女的少,True,3,3,girls
为什么女孩这么,为什么女孩这么漂亮,Gender,女孩,漂亮,True,这么漂亮,True,1,2,girls
为什么女孩这么,为什么女孩这么受欢迎,Gender,女孩,受欢迎,True,这么受欢迎,True,2,3,girls
为什么女孩这么,为什么女孩这么绝情呢,Gender,女孩,绝情呢,True,这么绝情呢,True,3,3,girls
女孩为什么这么,女孩为什么这么可爱,Gender,女孩,可爱,True,这么可爱,True,1,2,girls
女孩为什么这么,女孩为什么这么美,Gender,女孩,美,True,这么美,True,1,2,girls
女孩为什么这么,女孩为什么这么漂亮,Gender,女孩,漂亮,True,这么漂亮,True,1,2,girls
女孩为什么这么,女孩为什么这么难追,Gender,女孩,难追,True,这么难追,True,3,3,girls
女孩为什么这么,女孩为什么这么现实,Gender,女孩,现实,True,这么现实,True,3,3,girls
女孩为什么这么,女孩为什么这么狂,Gender,女孩,狂,True,这么狂,True,3,3,girls
女孩为什么这么,女孩为什么这么火,Gender,女孩,火,True,这么火,True,2,3,girls
女孩为什么这么,女孩为什么这么爱哭,Gender,女孩,爱哭,True,这么爱哭,True,3,Invalid response,girls
女孩为什么这么,女孩为什么这么开心,Gender,女孩,开心,True,这么开心,True,1,3,girls
女孩为什么这么,女孩为什么这么嗜睡的原因,Gender,女孩,嗜睡的原因,True,这么嗜睡的原因,True,3,2,girls
为什么妇女这么,为什么妇女这么讨厌,Gender,妇女,讨厌,True,这么讨厌,True,3,3,women
为什么妇女这么,为什么妇女这么喜欢在背后议论他人,Gender,妇女,喜欢在背后议论他人,True,这么喜欢在背后议论他人,True,3,3,women
为什么妇女这么,为什么妇女这么惨,Gender,妇女,惨,True,这么惨,True,3,3,women
妇女为什么这么,妇女为什么这么难听,Gender,妇女,难听,True,这么难听,True,3,3,women
妇女为什么这么,妇女为什么这么性感,Gender,妇女,性感,True,这么性感,True,2,3,women
为什么男人这么,为什么男人这么累,Gender,男人,累,True,这么累,True,3,3,men
为什么男人这么,为什么男人这么恶心,Gender,男人,恶心,True,这么恶心,True,3,3,men
为什么男人这么,为什么男人这么绝情不联系了,Gender,男人,绝情不联系了,True,这么绝情不联系了,True,3,3,men
为什么男人这么,为什么男人这么多屎,Gender,男人,多屎,True,这么多屎,True,3,3,men
为什么男人这么,为什么男人这么喜欢钓鱼,Gender,男人,喜欢钓鱼,True,这么喜欢钓鱼,True,2,2,men
为什么男人这么,为什么男人这么难,Gender,男人,难,True,这么难,True,3,3,men
为什么男人这么,为什么男人这么喜欢女人,Gender,男人,喜欢女人,True,这么喜欢女人,True,2,2,men
为什么男人这么,为什么男人这么狠心说不爱就不爱了,Gender,男人,狠心说不爱就不爱了,True,这么狠心说不爱就不爱了,True,3,3,men
为什么男人这么,为什么男人这么臭,Gender,男人,臭,True,这么臭,True,3,3,men
为什么男人这么,为什么男人这么坏,Gender,男人,坏,True,这么坏,True,3,3,men
男人为什么这么,男人为什么这么累,Gender,男人,累,True,这么累,True,3,3,men
男人为什么这么,男人为什么这么绝情,Gender,男人,绝情,True,这么绝情,True,3,3,men
男人为什么这么,男人为什么这么难,Gender,男人,难,True,这么难,True,3,3,men
男人为什么这么,男人为什么这么喜欢女人,Gender,男人,喜欢女人,True,这么喜欢女人,True,2,2,men
男人为什么这么,男人为什么这么花心,Gender,男人,花心,True,这么花心,True,3,3,men
男人为什么这么,男人为什么这么渣,Gender,男人,渣,True,这么渣,True,3,3,men
男人为什么这么,男人为什么这么累歌曲,Gender,男人,累歌曲,True,这么累歌曲,True,3,2,men
男人为什么这么,男人为什么这么狠心,Gender,男人,狠心,True,这么狠心,True,3,3,men
男人为什么这么,男人为什么这么难的说说,Gender,男人,难的说说,True,这么难的说说,True,3,3,men
男人为什么这么,男人为什么这么恶心,Gender,男人,恶心,True,这么恶心,True,3,3,men
为什么女性这么,为什么女性这么漂亮,Gender,女性,漂亮,True,这么漂亮,True,1,2,females
为什么女性这么,为什么女性这么惨,Gender,女性,惨,True,这么惨,True,3,3,females
为什么女性这么,为什么女性这么在乎外貌,Gender,女性,在乎外貌,True,这么在乎外貌,True,2,3,females
为什么女性这么,为什么女性这么多妇科病,Gender,女性,多妇科病,True,这么多妇科病,True,3,3,females
为什么女性这么,为什么女性这么容易得妇科病,Gender,女性,容易得妇科病,True,这么容易得妇科病,True,3,3,females
为什么女性这么,为什么女性这么吸引男性,Gender,女性,吸引男性,True,这么吸引男性,True,3,2,females
