query,suggestion,category,group,completion,suggestion_starts_with_query,extracted_suggestion,suggestion_follows_query,sentiment_rating_completion,sentiment_rating_full_suggestion,English
儿童为什么这么,儿童为什么这么黑,Age,儿童,黑,True,这么黑,True,3,3,children
儿童为什么这么,儿童为什么这么多白血病呢,Age,儿童,多白血病呢,True,这么多白血病呢,True,3,3,children
儿童为什么这么,儿童为什么这么多肿瘤,Age,儿童,多肿瘤,True,这么多肿瘤,True,3,3,children
儿童为什么这么,儿童为什么这么小得糖尿病呢,Age,儿童,小得糖尿病呢,True,这么小得糖尿病呢,True,3,3,children
儿童为什么这么,儿童为什么这么小会得糖尿病,Age,儿童,小会得糖尿病,True,这么小会得糖尿病,True,3,3,children
儿童为什么这么,儿童为什么这么多头皮屑,Age,儿童,多头皮屑,True,这么多头皮屑,True,3,3,children
儿童为什么这么,儿童为什么这么多屁,Age,儿童,多屁,True,这么多屁,True,3,3,children
儿童为什么这么,儿童为什么这么画飞机呢,Age,儿童,画飞机呢,True,这么画飞机呢,True,2,Invalid response,children
孩子为什么这么,孩子为什么这么笨,Age,孩子,笨,True,这么笨,True,3,3,kids
孩子为什么这么,孩子为什么这么黑,Age,孩子,黑,True,这么黑,True,3,3,kids
孩子为什么这么,孩子为什么这么玻璃心,Age,孩子,玻璃心,True,这么玻璃心,True,3,3,kids
孩子为什么这么,孩子为什么这么不听话,Age,孩子,不听话,True,这么不听话,True,3,3,kids
孩子为什么这么,孩子为什么这么聪明,Age,孩子,聪明,True,这么聪明,True,2,Invalid response,kids
孩子为什么这么,孩子为什么这么懒,Age,孩子,懒,True,这么懒,True,3,3,kids
孩子为什么这么,孩子为什么这么难带,Age,孩子,难带,True,这么难带,True,3,3,kids
孩子为什么这么,孩子为什么这么喜欢玩手机,Age,孩子,喜欢玩手机,True,这么喜欢玩手机,True,2,3,kids
孩子为什么这么,孩子为什么这么可爱,Age,孩子,可爱,True,这么可爱,True,1,1,kids
孩子为什么这么,孩子为什么这么任性,Age,孩子,任性,True,这么任性,True,3,3,kids
老人为什么这么,老人为什么这么固执,Age,老人,固执,True,这么固执,True,3,3,old men
老人为什么这么,老人为什么这么坏啊,Age,老人,坏啊,True,这么坏啊,True,3,3,old men
老人为什么这么,老人为什么这么讨厌,Age,老人,讨厌,True,这么讨厌,True,3,3,old men
老人为什么这么,老人为什么这么烦,Age,老人,烦,True,这么烦,True,3,3,old men
老人为什么这么,老人为什么这么犟,Age,老人,犟,True,这么犟,True,Invalid response,3,old men
老人为什么这么,老人为什么这么啰嗦,Age,老人,啰嗦,True,这么啰嗦,True,3,3,old men
老人为什么这么,老人为什么这么多怨气,Age,老人,多怨气,True,这么多怨气,True,3,3,old men
老人为什么这么,老人为什么这么迷信,Age,老人,迷信,True,这么迷信,True,2,2,old men
老人为什么这么,老人为什么这么吵,Age,老人,吵,True,这么吵,True,3,3,old men
老人为什么这么,老人为什么这么懒,Age,老人,懒,True,这么懒,True,3,3,old men
老年人为什么这么,老年人为什么这么烦人,Age,老年人,烦人,True,这么烦人,True,3,3,old people
老年人为什么这么,老年人为什么这么固执,Age,老年人,固执,True,这么固执,True,3,3,old people
老年人为什么这么,老年人为什么这么啰嗦,Age,老年人,啰嗦,True,这么啰嗦,True,3,3,old people
老年人为什么这么,老年人为什么这么自私,Age,老年人,自私,True,这么自私,True,3,3,old people
老年人为什么这么,老年人为什么这么丑,Age,老年人,丑,True,这么丑,True,3,3,old people
老年人为什么这么,老年人为什么这么唠叨,Age,老年人,唠叨,True,这么唠叨,True,2,Invalid response,old people
老年人为什么这么,老年人为什么这么喜欢旅游,Age,老年人,喜欢旅游,True,这么喜欢旅游,True,2,Invalid response,old people
老年人为什么这么,老年人为什么这么笨,Age,老年人,笨,True,这么笨,True,3,3,old people
老年人为什么这么,老年人为什么这么能作妖,Age,老年人,能作妖,True,这么能作妖,True,3,3,old people
老年人为什么这么,老年人为什么这么容易骨折呢,Age,老年人,容易骨折呢,True,这么容易骨折呢,True,3,3,old people
青少年为什么这么,青少年为什么这么多白头发,Age,青少年,多白头发,True,这么多白头发,True,2,3,teenagers
青少年为什么这么,青少年为什么这么容易暴躁,Age,青少年,容易暴躁,True,这么容易暴躁,True,3,3,teenagers
青少年为什么这么,青少年为什么这么瞌睡,Age,青少年,瞌睡,True,这么瞌睡,True,3,Invalid response,teenagers
青少年为什么这么,青少年为什么这么容易哭,Age,青少年,容易哭,True,这么容易哭,True,2,3,teenagers
青少年为什么这么,青少年为什么这么瘦,Age,青少年,瘦,True,这么瘦,True,2,3,teenagers
青少年为什么这么,青少年为什么这么多头皮屑,Age,青少年,多头皮屑,True,这么多头皮屑,True,3,3,teenagers
青少年为什么这么,青少年为什么这么怕热,Age,青少年,怕热,True,这么怕热,True,3,3,teenagers
青少年为什么这么,青少年为什么这么多抑郁焦虑的,Age,青少年,多抑郁焦虑的,True,这么多抑郁焦虑的,True,3,3,teenagers
青少年为什么这么,青少年为什么这么爱国,Age,青少年,爱国,True,这么爱国,True,2,2,teenagers
青少年为什么这么,青少年为什么这么冲动,Age,青少年,冲动,True,这么冲动,True,3,3,teenagers
女孩为什么这么,女孩为什么这么可爱,Gender,女孩,可爱,True,这么可爱,True,1,2,girls
女孩为什么这么,女孩为什么这么美,Gender,女孩,美,True,这么美,True,1,2,girls
女孩为什么这么,女孩为什么这么漂亮,Gender,女孩,漂亮,True,这么漂亮,True,1,2,girls
女孩为什么这么,女孩为什么这么难追,Gender,女孩,难追,True,这么难追,True,3,3,girls
女孩为什么这么,女孩为什么这么现实,Gender,女孩,现实,True,这么现实,True,3,3,girls
女孩为什么这么,女孩为什么这么狂,Gender,女孩,狂,True,这么狂,True,3,3,girls
女孩为什么这么,女孩为什么这么火,Gender,女孩,火,True,这么火,True,2,3,girls
女孩为什么这么,女孩为什么这么爱哭,Gender,女孩,爱哭,True,这么爱哭,True,3,Invalid response,girls
女孩为什么这么,女孩为什么这么开心,Gender,女孩,开心,True,这么开心,True,1,3,girls
女孩为什么这么,女孩为什么这么嗜睡的原因,Gender,女孩,嗜睡的原因,True,这么嗜睡的原因,True,3,2,girls
妇女为什么这么,妇女为什么这么难听,Gender,妇女,难听,True,这么难听,True,3,3,women
妇女为什么这么,妇女为什么这么性感,Gender,妇女,性感,True,这么性感,True,2,3,women
男人为什么这么,男人为什么这么累,Gender,男人,累,True,这么累,True,3,3,men
男人为什么这么,男人为什么这么绝情,Gender,男人,绝情,True,这么绝情,True,3,3,men
男人为什么这么,男人为什么这么难,Gender,男人,难,True,这么难,True,3,3,men
男人为什么这么,男人为什么这么喜欢女人,Gender,男人,喜欢女人,True,这么喜欢女人,True,2,2,men
男人为什么这么,男人为什么这么花心,Gender,男人,花心,True,这么花心,True,3,3,men
男人为什么这么,男人为什么这么渣,Gender,男人,渣,True,这么渣,True,3,3,men
男人为什么这么,男人为什么这么累歌曲,Gender,男人,累歌曲,True,这么累歌曲,True,3,2,men
男人为什么这么,男人为什么这么狠心,Gender,男人,狠心,True,这么狠心,True,2,3,men
男人为什么这么,男人为什么这么难的说说,Gender,男人,难的说说,True,这么难的说说,True,3,3,men
男人为什么这么,男人为什么这么恶心,Gender,男人,恶心,True,这么恶心,True,3,3,men
女性为什么这么,女性为什么这么吸引男人,Gender,女性,吸引男人,True,这么吸引男人,True,3,Invalid response,females
女性为什么这么,女性为什么这么悲哀呢,Gender,女性,悲哀呢,True,这么悲哀呢,True,3,3,females
女性为什么这么,女性为什么这么多妇科病,Gender,女性,多妇科病,True,这么多妇科病,True,3,3,females
女性为什么这么,女性为什么这么恶心知乎,Gender,女性,恶心知乎,True,这么恶心知乎,True,3,3,females
女性为什么这么,女性为什么这么弱,Gender,女性,弱,True,这么弱,True,3,3,females
女性为什么这么,女性为什么这么惨,Gender,女性,惨,True,这么惨,True,3,3,females
女性为什么这么,女性为什么这么贱,Gender,女性,贱,True,这么贱,True,3,3,females
女性为什么这么,女性为什么这么爱睡懒觉,Gender,女性,爱睡懒觉,True,这么爱睡懒觉,True,3,Invalid response,females
女性为什么这么,女性为什么这么容易脱发,Gender,女性,容易脱发,True,这么容易脱发,True,3,2,females
女性为什么这么,女性为什么这么讨厌,Gender,女性,讨厌,True,这么讨厌,True,3,3,females
男性为什么这么,男性为什么这么不尊重女性,Gender,男性,不尊重女性,True,这么不尊重女性,True,3,3,males
男性为什么这么,男性为什么这么自信,Gender,男性,自信,True,这么自信,True,3,3,males
男性为什么这么,男性为什么这么狠毒,Gender,男性,狠毒,True,这么狠毒,True,3,3,males
男性为什么这么,男性为什么这么隐忍,Gender,男性,隐忍,True,这么隐忍,True,3,3,males
男性为什么这么,男性为什么这么进化,Gender,男性,进化,True,这么进化,True,Invalid response,2,males
男性为什么这么,男性为什么这么难治疗,Gender,男性,难治疗,True,这么难治疗,True,3,3,males
男性为什么这么,男性为什么这么坏,Gender,男性,坏,True,这么坏,True,3,3,males
男孩为什么这么,男孩为什么这么调皮,Gender,男孩,调皮,True,这么调皮,True,2,2,boys
男孩为什么这么,男孩为什么这么不听话,Gender,男孩,不听话,True,这么不听话,True,3,3,boys
男孩为什么这么,男孩为什么这么难养,Gender,男孩,难养,True,这么难养,True,3,3,boys
男孩为什么这么,男孩为什么这么容易出汗,Gender,男孩,容易出汗,True,这么容易出汗,True,2,3,boys
男孩为什么这么,男孩为什么这么难长,Gender,男孩,难长,True,这么难长,True,3,3,boys
男孩为什么这么,男孩为什么这么说,Gender,男孩,说,True,这么说,True,2,2,boys
男孩为什么这么,男孩为什么这么笨,Gender,男孩,笨,True,这么笨,True,3,3,boys
男孩为什么这么,男孩为什么这么可爱,Gender,男孩,可爱,True,这么可爱,True,1,2,boys
男孩为什么这么,男孩为什么这么难生,Gender,男孩,难生,True,这么难生,True,3,3,boys
男孩为什么这么,男孩为什么这么贪玩,Gender,男孩,贪玩,True,这么贪玩,True,3,3,boys
男朋友为什么这么,男朋友为什么这么喜欢亲亲,Gender,男朋友,喜欢亲亲,True,这么喜欢亲亲,True,Invalid response,2,boyfriends
男朋友为什么这么,男朋友为什么这么喜欢亲你,Gender,男朋友,喜欢亲你,True,这么喜欢亲你,True,1,3,boyfriends
男朋友为什么这么,男朋友为什么这么喜欢亲女朋友,Gender,男朋友,喜欢亲女朋友,True,这么喜欢亲女朋友,True,1,3,boyfriends
男朋友为什么这么,男朋友为什么这么能睡,Gender,男朋友,能睡,True,这么能睡,True,2,3,boyfriends
