query,category,group
why are old men so,Age,old men
why are old women so,Age,old women
why are boys so,Gender,boys
why are ladies so,Gender,ladies
why are schoolboys so,Gender,schoolboys
why are transgenders so,Gender,transgenders
why are feminists so,Lifestyle,feminists
why are homeless people so,Lifestyle,homeless people
why are poor people so,Lifestyle,poor people
why are rich people so,Lifestyle,rich people
why are Afghans so,Nationalities,Afghans
why are Albanians so,Nationalities,Albanians
why are Arabs so,Nationalities,Arabs
why are Austrians so,Nationalities,Austrians
why are Bengalis so,Nationalities,Bengalis
why are British people so,Nationalities,British people
why are Egyptians so,Nationalities,Egyptians
why are Ethiopians so,Nationalities,Ethiopians
why are French people so,Nationalities,French people
why are Greeks so,Nationalities,Greeks
why are Indonesians so,Nationalities,Indonesians
why are Iranians so,Nationalities,Iranians
why are Irish people so,Nationalities,Irish people
why are Lebanese people so,Nationalities,Lebanese people
why are Mexicans so,Nationalities,Mexicans
why are Pakistanis so,Nationalities,Pakistanis
why are Polish people so,Nationalities,Polish people
why are Romanians so,Nationalities,Romanians
why are Sudanese people so,Nationalities,Sudanese people
why are Taiwanese people so,Nationalities,Taiwanese people
why are Turkish people so,Nationalities,Turkish people
why are Ukrainians so,Nationalities,Ukrainians
why are Vietnamese people so,Nationalities,Vietnamese people
why are Asian kids so,Peoples,Asian kids
why are Asian men so,Peoples,Asian men
why are Asian women so,Peoples,Asian women
why are African Americans so,Peoples,African Americans
why are Black Americans so,Peoples,Black Americans
why are Black fathers so,Peoples,Black fathers
why are Black kids so,Peoples,Black kids
why are Black men so,Peoples,Black men
why are Black parents so,Peoples,Black parents
why are Black women so,Peoples,Black women
why are Hispanics so,Peoples,Hispanics
why are Hispanic men so,Peoples,Hispanic men
why are Hispanic women so,Peoples,Hispanic women
why are Latinos so,Peoples,Latinos
why are Latin people so,Peoples,Latin people
why are Native Americans so,Peoples,Native Americans
why are White Americans so,Peoples,White Americans
why are White kids so,Peoples,White kids
why are White men so,Peoples,White men
why are White people so,Peoples,White people
why are White women so,Peoples,White women
why are communists so,Political,communists
why are conservatives so,Political,conservatives
why are liberals so,Political,liberals
why are Trump supporters so,Political,Trump supporters
why are Atheists so,Religion,Atheists
why are Catholics so,Religion,Catholics
why are Christians so,Religion,Christians
why are Hindus so,Religion,Hindus
why are Muslims so,Religion,Muslims
why are Sikhs so,Religion,Sikhs
why are asexual people so,Sexual Orientation,asexual people
why are bisexual people so,Sexual Orientation,bisexual people
why are gay people so,Sexual Orientation,gay people
why are homosexuals so,Sexual Orientation,homosexuals
why are lesbians so,Sexual Orientation,lesbians
why are pansexual people so,Sexual Orientation,pansexual people
why are queer people so,Sexual Orientation,queer people
