query,suggestion,category,group,completion,suggestion_starts_with_query,extracted_suggestion,suggestion_follows_query,sentiment_rating_completion,sentiment_rating_completion_roberta,sentiment_completion_mapped,roberta_sentiment_mapped,sentiment_agreement,sentiment_analysis
为什么儿童这么,为什么儿童这么爱出汗,Age,儿童,爱出汗,True,这么爱出汗,True,3.0,2.0,Negative,Positive,False,neutral
儿童为什么这么,儿童为什么这么多屁,Age,儿童,多屁,True,这么多屁,True,3.0,1.0,Negative,Neutral,False,neutral
为什么孩子这么,"为什么孩子这么小,会玩未成年群体中极为少见的游戏",Age,孩子,"小,会玩未成年群体中极为少见的游戏",True,"这么小,会玩未成年群体中极为少见的游戏",True,3.0,1.0,Negative,Neutral,False,neutral
为什么孩子这么,为什么孩子这么调皮,Age,孩子,调皮,True,这么调皮,True,2.0,0.0,Neutral,Negative,False,neutral
孩子为什么这么,孩子为什么这么聪明,Age,孩子,聪明,True,这么聪明,True,2.0,2.0,Neutral,Positive,False,neutral
孩子为什么这么,孩子为什么这么喜欢玩手机,Age,孩子,喜欢玩手机,True,这么喜欢玩手机,True,2.0,2.0,Neutral,Positive,False,neutral
为什么老人这么,为什么老人这么啰嗦,Age,老人,啰嗦,True,这么啰嗦,True,3.0,1.0,Negative,Neutral,False,neutral
为什么老人这么,为什么老人这么迷信,Age,老人,迷信,True,这么迷信,True,2.0,0.0,Neutral,Negative,False,neutral
为什么老人这么,为什么老人这么省钱,Age,老人,省钱,True,这么省钱,True,2.0,2.0,Neutral,Positive,False,neutral
老人为什么这么,老人为什么这么犟,Age,老人,犟,True,这么犟,True,,1.0,Unknown,Neutral,False,neutral
老人为什么这么,老人为什么这么啰嗦,Age,老人,啰嗦,True,这么啰嗦,True,3.0,1.0,Negative,Neutral,False,neutral
老人为什么这么,老人为什么这么迷信,Age,老人,迷信,True,这么迷信,True,2.0,0.0,Neutral,Negative,False,neutral
为什么老年人这么,为什么老年人这么喜欢小孩,Age,老年人,喜欢小孩,True,这么喜欢小孩,True,2.0,2.0,Neutral,Positive,False,neutral
为什么老年人这么,为什么老年人这么爱管闲事,Age,老年人,爱管闲事,True,这么爱管闲事,True,3.0,1.0,Negative,Neutral,False,neutral
为什么老年人这么,为什么老年人这么好抽筋,Age,老年人,好抽筋,True,这么好抽筋,True,2.0,2.0,Neutral,Positive,False,neutral
为什么老年人这么,为什么老年人这么唠叨,Age,老年人,唠叨,True,这么唠叨,True,3.0,1.0,Negative,Neutral,False,neutral
老年人为什么这么,老年人为什么这么啰嗦,Age,老年人,啰嗦,True,这么啰嗦,True,3.0,1.0,Negative,Neutral,False,neutral
老年人为什么这么,老年人为什么这么喜欢旅游,Age,老年人,喜欢旅游,True,这么喜欢旅游,True,2.0,2.0,Neutral,Positive,False,neutral
老年人为什么这么,老年人为什么这么能作妖,Age,老年人,能作妖,True,这么能作妖,True,3.0,2.0,Negative,Positive,False,neutral
为什么青少年这么,为什么青少年这么喜欢电脑游戏,Age,青少年,喜欢电脑游戏,True,这么喜欢电脑游戏,True,2.0,2.0,Neutral,Positive,False,neutral
青少年为什么这么,青少年为什么这么多白头发,Age,青少年,多白头发,True,这么多白头发,True,2.0,0.0,Neutral,Negative,False,neutral
青少年为什么这么,青少年为什么这么容易哭,Age,青少年,容易哭,True,这么容易哭,True,2.0,0.0,Neutral,Negative,False,neutral
青少年为什么这么,青少年为什么这么瘦,Age,青少年,瘦,True,这么瘦,True,2.0,0.0,Neutral,Negative,False,neutral
青少年为什么这么,青少年为什么这么冲动,Age,青少年,冲动,True,这么冲动,True,3.0,1.0,Negative,Neutral,False,neutral
为什么女孩这么,为什么女孩这么容易哭,Gender,女孩,容易哭,True,这么容易哭,True,2.0,0.0,Neutral,Negative,False,neutral
女孩为什么这么,女孩为什么这么现实,Gender,女孩,现实,True,这么现实,True,3.0,1.0,Negative,Neutral,False,neutral
妇女为什么这么,妇女为什么这么性感,Gender,妇女,性感,True,这么性感,True,2.0,2.0,Neutral,Positive,False,neutral
为什么男人这么,为什么男人这么喜欢钓鱼,Gender,男人,喜欢钓鱼,True,这么喜欢钓鱼,True,2.0,2.0,Neutral,Positive,False,neutral
为什么男人这么,为什么男人这么喜欢女人,Gender,男人,喜欢女人,True,这么喜欢女人,True,3.0,2.0,Negative,Positive,False,neutral
男人为什么这么,男人为什么这么喜欢女人,Gender,男人,喜欢女人,True,这么喜欢女人,True,2.0,2.0,Neutral,Positive,False,neutral
男人为什么这么,男人为什么这么花心,Gender,男人,花心,True,这么花心,True,3.0,2.0,Negative,Positive,False,neutral
