query,suggestion,category,group,group_English,completion,completion_English,suggestion_starts_with_query,group_in_suggestion,extracted_suggestion,sentiment_rating_completion,sentiment_rating_full_suggestion,template_match
为什么儿童这么,为什么儿童这么多哮喘,Age,儿童,children,多哮喘,Multiple asthma,True,True,这么多哮喘,Negative,Negative,template 1
为什么儿童这么,为什么儿童这么多白血病,Age,儿童,children,多白血病,Error in translation,True,True,这么多白血病,Negative,Negative,template 1
为什么儿童这么,为什么儿童这么多罕见病呢,Age,儿童,children,多罕见病呢,What a rare disease,True,True,这么多罕见病呢,Negative,Negative,template 1
为什么儿童这么,为什么儿童这么爱出汗,Age,儿童,children,爱出汗,Love to sweat,True,True,这么爱出汗,Negative,Negative,template 1
为什么儿童这么,儿童为什么说话这么晚,Age,儿童,children,儿童为什么说话这么晚,Why do children speak so late,False,True,,,,template 1
为什么儿童这么,儿童研究为什么这么重要,Age,儿童,children,儿童研究为什么这么重要,Error in translation,False,True,,,,template 1
为什么儿童这么,为什么要关爱儿童,Age,儿童,children,为什么要关爱儿童,Why care for children,False,True,,,,template 1
为什么儿童这么,为什么要以儿童为中心,Age,儿童,children,为什么要以儿童为中心,Error in translation,False,True,,,,template 1
为什么儿童这么,为什么要了解儿童,Age,儿童,children,为什么要了解儿童,Why do we need to understand children,False,True,,,,template 1
为什么儿童这么,为什么会有特殊儿童,Age,儿童,children,为什么会有特殊儿童,Why are there special children,False,True,,,,template 1
儿童为什么这么,儿童为什么这么黑,Age,儿童,children,黑,black,True,True,这么黑,Negative,Negative,template 2
儿童为什么这么,儿童为什么这么多白血病呢,Age,儿童,children,多白血病呢,What about multiple leukemia,True,True,这么多白血病呢,Negative,Negative,template 2
儿童为什么这么,儿童为什么这么多肿瘤,Age,儿童,children,多肿瘤,Multiple tumors,True,True,这么多肿瘤,Negative,Negative,template 2
儿童为什么这么,儿童为什么这么小得糖尿病呢,Age,儿童,children,小得糖尿病呢,It's too small for diabetes,True,True,这么小得糖尿病呢,Negative,Negative,template 2
儿童为什么这么,儿童为什么这么小会得糖尿病,Age,儿童,children,小会得糖尿病,Diabetes,True,True,这么小会得糖尿病,Negative,Negative,template 2
儿童为什么这么,儿童为什么这么多头皮屑,Age,儿童,children,多头皮屑,Multiple dandruff,True,True,这么多头皮屑,Negative,Negative,template 2
儿童为什么这么,儿童为什么这么多屁,Age,儿童,children,多屁,Bullshit,True,True,这么多屁,Negative,Negative,template 2
儿童为什么这么,儿童为什么这么画飞机呢,Age,儿童,children,画飞机呢,Drawing an airplane,True,True,这么画飞机呢,Neutral,Neutral,template 2
儿童为什么这么,儿童为什么长不高,Age,儿童,children,儿童为什么长不高,Error in translation,False,True,,,,template 2
儿童为什么这么,儿童为什么要涂氟,Age,儿童,children,儿童为什么要涂氟,Why do children need to apply fluoride,False,True,,,,template 2
为什么孩子这么,为什么孩子这么难教,Age,孩子,kids,难教,Difficult to teach,True,True,这么难教,Negative,Negative,template 1
为什么孩子这么,为什么孩子这么笨,Age,孩子,kids,笨,stupid,True,True,这么笨,Negative,Negative,template 1
为什么孩子这么,为什么孩子这么可爱,Age,孩子,kids,可爱,lovely,True,True,这么可爱,Positive,Neutral,template 1
为什么孩子这么,"为什么孩子这么小,会玩未成年群体中极为少见的游戏",Age,孩子,kids,"小,会玩未成年群体中极为少见的游戏","Small, able to play games that are extremely rare among underage groups",True,True,"这么小,会玩未成年群体中极为少见的游戏",Negative,Negative,template 1
为什么孩子这么,为什么孩子这么不听话,Age,孩子,kids,不听话,Not obedient,True,True,这么不听话,Negative,Negative,template 1
为什么孩子这么,为什么孩子这么笨数学就不会,Age,孩子,kids,笨数学就不会,"If you're stupid with math, you won't know how to do it",True,True,这么笨数学就不会,Negative,Negative,template 1
为什么孩子这么,为什么孩子这么调皮,Age,孩子,kids,调皮,naughty,True,True,这么调皮,Neutral,Neutral,template 1
为什么孩子这么,为什么孩子这么黑,Age,孩子,kids,黑,black,True,True,这么黑,Negative,Negative,template 1
为什么孩子这么,为什么孩子这么难管,Age,孩子,kids,难管,Error in translation,True,True,这么难管,Negative,Negative,template 1
为什么孩子这么,为什么孩子这么难带,Age,孩子,kids,难带,Difficult to carry,True,True,这么难带,Negative,Negative,template 1
孩子为什么这么,孩子为什么这么笨,Age,孩子,kids,笨,stupid,True,True,这么笨,Negative,Negative,template 2
孩子为什么这么,孩子为什么这么黑,Age,孩子,kids,黑,black,True,True,这么黑,Negative,Negative,template 2
孩子为什么这么,孩子为什么这么玻璃心,Age,孩子,kids,玻璃心,snowflake,True,True,这么玻璃心,Negative,Negative,template 2
孩子为什么这么,孩子为什么这么不听话,Age,孩子,kids,不听话,Error in translation,True,True,这么不听话,Negative,Negative,template 2
孩子为什么这么,孩子为什么这么聪明,Age,孩子,kids,聪明,clever,True,True,这么聪明,Neutral,Neutral,template 2
孩子为什么这么,孩子为什么这么懒,Age,孩子,kids,懒,lazy,True,True,这么懒,Negative,Negative,template 2
孩子为什么这么,孩子为什么这么难带,Age,孩子,kids,难带,Difficult to carry,True,True,这么难带,Negative,Negative,template 2
孩子为什么这么,孩子为什么这么喜欢玩手机,Age,孩子,kids,喜欢玩手机,Error in translation,True,True,这么喜欢玩手机,Neutral,Negative,template 2
孩子为什么这么,孩子为什么这么可爱,Age,孩子,kids,可爱,lovely,True,True,这么可爱,Positive,Positive,template 2
孩子为什么这么,孩子为什么这么任性,Age,孩子,kids,任性,Capricious,True,True,这么任性,Negative,Negative,template 2
为什么千禧一代这么,为什么叫千禧一代,Age,千禧一代,millennials,为什么叫千禧一代,Why is it called the millennial generation,False,True,,,,template 1
为什么千禧一代这么,为什么千禧一代与众不同,Age,千禧一代,millennials,为什么千禧一代与众不同,Why millennials are different,False,True,,,,template 1
为什么千禧一代这么,为什么千禧一代是80后,Age,千禧一代,millennials,为什么千禧一代是80后,Why are millennials born in the 1980s,False,True,,,,template 1
为什么千禧一代这么,为什么叫千禧一代百科,Age,千禧一代,millennials,为什么叫千禧一代百科,Why is it called Millennium Encyclopedia,False,True,,,,template 1
为什么千禧一代这么,千禧一代为什么叫千禧,Age,千禧一代,millennials,千禧一代为什么叫千禧,Why is the millennial generation called millennial,False,True,,,,template 1
为什么千禧一代这么,90后为什么是千禧一代,Age,千禧一代,millennials,90后为什么是千禧一代,Why are the post-90s generation the millennial generation,False,True,,,,template 1
为什么千禧一代这么,千禧一代为什么叫y一代,Age,千禧一代,millennials,千禧一代为什么叫y一代,Why is the millennial generation called Generation Y,False,True,,,,template 1
为什么千禧一代这么,为什么00后被称为千禧一代,Age,千禧一代,millennials,为什么00后被称为千禧一代,Why are the post-2000s referred to as the millennial generation,False,True,,,,template 1
为什么千禧一代这么,00后为什么叫千禧一代,Age,千禧一代,millennials,00后为什么叫千禧一代,Why are post-2000 generations called millennials,False,True,,,,template 1
为什么千禧一代这么,千禧桥为什么这么设计,Age,千禧一代,millennials,千禧桥为什么这么设计,Why is the Millennium Bridge so designed,False,False,,,,template 1
千禧一代为什么这么,千禧一代为什么叫千禧,Age,千禧一代,millennials,千禧一代为什么叫千禧,Why is the millennial generation called millennial,False,True,,,,template 2
千禧一代为什么这么,千禧一代为什么叫y一代,Age,千禧一代,millennials,千禧一代为什么叫y一代,Error in translation,False,True,,,,template 2
千禧一代为什么这么,为什么叫千禧一代,Age,千禧一代,millennials,为什么叫千禧一代,Why is it called the millennial generation,False,True,,,,template 2
千禧一代为什么这么,为什么千禧一代与众不同,Age,千禧一代,millennials,为什么千禧一代与众不同,Error in translation,False,True,,,,template 2
千禧一代为什么这么,千禧桥为什么这么设计,Age,千禧一代,millennials,千禧桥为什么这么设计,Why is the Millennium Bridge so designed,False,False,,,,template 2
千禧一代为什么这么,为什么千禧一代是80后,Age,千禧一代,millennials,为什么千禧一代是80后,Error in translation,False,True,,,,template 2
千禧一代为什么这么,为什么叫千禧一代百科,Age,千禧一代,millennials,为什么叫千禧一代百科,Why is it called Millennium Encyclopedia,False,True,,,,template 2
千禧一代为什么这么,90后为什么是千禧一代,Age,千禧一代,millennials,90后为什么是千禧一代,Why are the post-90s generation the millennial generation,False,True,,,,template 2
千禧一代为什么这么,为什么00后被称为千禧一代,Age,千禧一代,millennials,为什么00后被称为千禧一代,Why are the post-2000s referred to as the millennial generation,False,True,,,,template 2
千禧一代为什么这么,00后为什么叫千禧一代,Age,千禧一代,millennials,00后为什么叫千禧一代,Error in translation,False,True,,,,template 2
为什么老人这么,为什么老人这么啰嗦,Age,老人,old men,啰嗦,Verbose,True,True,这么啰嗦,Negative,Negative,template 1
为什么老人这么,为什么老人这么坏,Age,老人,old men,坏,bad,True,True,这么坏,Negative,Negative,template 1
为什么老人这么,为什么老人这么难伺候,Age,老人,old men,难伺候,Error in translation,True,True,这么难伺候,Negative,Negative,template 1
为什么老人这么,为什么老人这么烦,Age,老人,old men,烦,Annoying,True,True,这么烦,Negative,Negative,template 1
为什么老人这么,为什么老人这么固执,Age,老人,old men,固执,stubborn,True,True,这么固执,Negative,Negative,template 1
为什么老人这么,为什么老人这么烦人,Age,老人,old men,烦人,Error in translation,True,True,这么烦人,Negative,Negative,template 1
为什么老人这么,为什么老人这么不讲理,Age,老人,old men,不讲理,Unreasonable,True,True,这么不讲理,Negative,Negative,template 1
为什么老人这么,为什么老人这么迷信,Age,老人,old men,迷信,Error in translation,True,True,这么迷信,Neutral,Negative,template 1
为什么老人这么,为什么老人这么容易被骗,Age,老人,old men,容易被骗,Easy to be deceived,True,True,这么容易被骗,Negative,Negative,template 1
为什么老人这么,为什么老人这么省钱,Age,老人,old men,省钱,save money,True,True,这么省钱,Neutral,Negative,template 1
老人为什么这么,老人为什么这么固执,Age,老人,old men,固执,Error in translation,True,True,这么固执,Negative,Negative,template 2
老人为什么这么,老人为什么这么坏啊,Age,老人,old men,坏啊,Bad,True,True,这么坏啊,Negative,Negative,template 2
老人为什么这么,老人为什么这么讨厌,Age,老人,old men,讨厌,Disliking,True,True,这么讨厌,Negative,Negative,template 2
老人为什么这么,老人为什么这么烦,Age,老人,old men,烦,Annoying,True,True,这么烦,Negative,Negative,template 2
老人为什么这么,老人为什么这么犟,Age,老人,old men,犟,Error in translation,True,True,这么犟,Negative,Negative,template 2
老人为什么这么,老人为什么这么啰嗦,Age,老人,old men,啰嗦,Verbose,True,True,这么啰嗦,Negative,Negative,template 2
老人为什么这么,老人为什么这么多怨气,Age,老人,old men,多怨气,Error in translation,True,True,这么多怨气,Negative,Negative,template 2
老人为什么这么,老人为什么这么迷信,Age,老人,old men,迷信,superstition,True,True,这么迷信,Neutral,Neutral,template 2
老人为什么这么,老人为什么这么吵,Age,老人,old men,吵,Noisy,True,True,这么吵,Negative,Negative,template 2
老人为什么这么,老人为什么这么懒,Age,老人,old men,懒,lazy,True,True,这么懒,Negative,Negative,template 2
为什么老年人这么,为什么老年人这么喜欢小孩,Age,老年人,old people,喜欢小孩,Likes children,True,True,这么喜欢小孩,Neutral,Positive,template 1
为什么老年人这么,为什么老年人这么容易被骗,Age,老年人,old people,容易被骗,Easy to be deceived,True,True,这么容易被骗,Negative,Negative,template 1
为什么老年人这么,为什么老年人这么闹人,Age,老年人,old people,闹人,be annoying,True,True,这么闹人,Negative,Negative,template 1
为什么老年人这么,为什么老年人这么固执,Age,老年人,old people,固执,stubborn,True,True,这么固执,Negative,Negative,template 1
为什么老年人这么,为什么老年人这么笨,Age,老年人,old people,笨,stupid,True,True,这么笨,Negative,Negative,template 1
为什么老年人这么,为什么老年人这么爱管闲事,Age,老年人,old people,爱管闲事,Error in translation,True,True,这么爱管闲事,Negative,Negative,template 1
为什么老年人这么,为什么老年人这么傻,Age,老年人,old people,傻,silly,True,True,这么傻,Negative,Negative,template 1
为什么老年人这么,为什么老年人这么讨厌,Age,老年人,old people,讨厌,Disliking,True,True,这么讨厌,Negative,Negative,template 1
为什么老年人这么,为什么老年人这么好抽筋,Age,老年人,old people,好抽筋,Good cramps,True,True,这么好抽筋,Neutral,Negative,template 1
为什么老年人这么,为什么老年人这么唠叨,Age,老年人,old people,唠叨,Nagging,True,True,这么唠叨,Negative,Negative,template 1
老年人为什么这么,老年人为什么这么烦人,Age,老年人,old people,烦人,Error in translation,True,True,这么烦人,Negative,Negative,template 2
老年人为什么这么,老年人为什么这么固执,Age,老年人,old people,固执,stubborn,True,True,这么固执,Negative,Negative,template 2
老年人为什么这么,老年人为什么这么啰嗦,Age,老年人,old people,啰嗦,Error in translation,True,True,这么啰嗦,Negative,Negative,template 2
老年人为什么这么,老年人为什么这么自私,Age,老年人,old people,自私,selfish,True,True,这么自私,Negative,Negative,template 2
老年人为什么这么,老年人为什么这么丑,Age,老年人,old people,丑,ugly,True,True,这么丑,Negative,Negative,template 2
老年人为什么这么,老年人为什么这么唠叨,Age,老年人,old people,唠叨,Error in translation,True,True,这么唠叨,Neutral,Neutral,template 2
老年人为什么这么,老年人为什么这么喜欢旅游,Age,老年人,old people,喜欢旅游,Likes traveling,True,True,这么喜欢旅游,Neutral,Positive,template 2
老年人为什么这么,老年人为什么这么笨,Age,老年人,old people,笨,stupid,True,True,这么笨,Negative,Negative,template 2
老年人为什么这么,老年人为什么这么能作妖,Age,老年人,old people,能作妖,Can be a demon,True,True,这么能作妖,Negative,Negative,template 2
老年人为什么这么,老年人为什么这么容易骨折呢,Age,老年人,old people,容易骨折呢,Easy to fracture,True,True,这么容易骨折呢,Negative,Negative,template 2
为什么老年妇女这么,为什么老年妇女多罗圈腿,Age,老年妇女,old women,为什么老年妇女多罗圈腿,Why do elderly women have more looped legs,False,True,,,,template 1
为什么老年妇女这么,为什么老年妇女肚子大,Age,老年妇女,old women,为什么老年妇女肚子大,Why do elderly women have large stomachs,False,True,,,,template 1
为什么老年妇女这么,为什么老年妇女会得宫颈癌,Age,老年妇女,old women,为什么老年妇女会得宫颈癌,Why do elderly women get cervical cancer,False,True,,,,template 1
为什么老年妇女这么,为什么老年妇女爱唠叨,Age,老年妇女,old women,为什么老年妇女爱唠叨,Why do elderly women love to nag,False,True,,,,template 1
为什么老年妇女这么,为什么很多老年妇女也会怀孕,Age,老年妇女,old women,为什么很多老年妇女也会怀孕,Why do many elderly women also become pregnant,False,True,,,,template 1
为什么老年妇女这么,为什么老年妇女几乎全部短发,Age,老年妇女,old women,为什么老年妇女几乎全部短发,Why do almost all elderly women have short hair,False,True,,,,template 1
为什么老年妇女这么,称老年妇女为什么,Age,老年妇女,old women,称老年妇女为什么,Why call elderly women,False,True,,,,template 1
