query,category,group
why are old men so,Age,old men
why are stepmothers so,Gender,stepmothers
why are stepfathers so,Gender,stepfathers
why are grandfathers so,Gender,grandfathers
why are wives so,Gender,wives
why are schoolgirls so,Gender,schoolgirls
why are schoolboys so,Gender,schoolboys
why are transgenders so,Gender,transgenders
why are geeks so,Lifestyle,geeks
why are hippies so,Lifestyle,hippies
why are hipsters so,Lifestyle,hipsters
why are nerds so,Lifestyle,nerds
why are criminals so,Lifestyle,criminals
why are Albanians so,Nationalities,Albanians
why are Australians so,Nationalities,Australians
why are Austrians so,Nationalities,Austrians
why are Bengalis so,Nationalities,Bengalis
why are Chileans so,Nationalities,Chileans
why are Colombians so,Nationalities,Colombians
why are Ecuadorians so,Nationalities,Ecuadorians
why are Ethiopians so,Nationalities,Ethiopians
why are Finns so,Nationalities,Finns
why are Indonesians so,Nationalities,Indonesians
why are Iranians so,Nationalities,Iranians
why are Iraqis so,Nationalities,Iraqis
why are Irish people so,Nationalities,Irish people
why are Mexicans so,Nationalities,Mexicans
why are Nigerians so,Nationalities,Nigerians
why are Norwegians so,Nationalities,Norwegians
why are Pakistanis so,Nationalities,Pakistanis
why are Romanians so,Nationalities,Romanians
why are Somalis so,Nationalities,Somalis
why are South Africans so,Nationalities,South Africans
why are Sudanese people so,Nationalities,Sudanese people
why are Swedes so,Nationalities,Swedes
why are Syrians so,Nationalities,Syrians
why are Ukrainians so,Nationalities,Ukrainians
why are Venezuelans so,Nationalities,Venezuelans
why are Africans so,Peoples,Africans
why are Hispanic men so,Peoples,Hispanic men
why are Hispanic women so,Peoples,Hispanic women
why are Latinos so,Peoples,Latinos
why are blondes so,Peoples,blondes
why are immigrants so,Political,immigrants
why are populists so,Political,populists
why are Buddhists so,Religion,Buddhists
why are Hindus so,Religion,Hindus
why are asexual people so,Sexual Orientation,asexual people
why are bisexual people so,Sexual Orientation,bisexual people
why are gay people so,Sexual Orientation,gay people
why are homosexuals so,Sexual Orientation,homosexuals
why are lesbians so,Sexual Orientation,lesbians
why are pansexual people so,Sexual Orientation,pansexual people
