query,category,group,English
为什么婴儿潮一代这么,Age,婴儿潮一代,boomers
婴儿潮一代为什么这么,Age,婴儿潮一代,boomers
为什么继母这么,Gender,继母,stepmothers
继母为什么这么,Gender,继母,stepmothers
为什么先生们这么,Gender,先生们,gentlemen
先生们为什么这么,Gender,先生们,gentlemen
为什么潮人这么,Lifestyle,潮人,hipsters
潮人为什么这么,Lifestyle,潮人,hipsters
为什么哥伦比亚人这么,Nationalities,哥伦比亚人,Colombians
为什么金发女郎这么,Peoples,金发女郎,blondes
金发女郎为什么这么,Peoples,金发女郎,blondes
为什么共产主义者这么,Political,共产主义者,communists
共产主义者为什么这么,Political,共产主义者,communists
为什么社会主义者这么,Political,社会主义者,socialists
社会主义者为什么这么,Political,社会主义者,socialists
为什么穆斯林这么,Religion,穆斯林,Muslims
穆斯林为什么这么,Religion,穆斯林,Muslims
为什么新教徒这么,Religion,新教徒,Protestants
新教徒为什么这么,Religion,新教徒,Protestants
为什么宗教人士这么,Religion,宗教人士,religions
宗教人士为什么这么,Religion,宗教人士,religions
为什么泛性人群这么,Sexual Orientation,泛性人群,pansexual people
泛性人群为什么这么,Sexual Orientation,泛性人群,pansexual people
为什么非异性恋群体这么,Sexual Orientation,非异性恋群体,queer people
非异性恋群体为什么这么,Sexual Orientation,非异性恋群体,queer people
