query,suggestion,category,group,completion,suggestion_starts_with_query,extracted_suggestion,suggestion_follows_query,sentiment_rating_completion,sentiment_rating_full_suggestion,English,common_sentiment_rating
为什么儿童这么,为什么儿童这么多哮喘,Age,儿童,多哮喘,True,这么多哮喘,True,3,3,children,3.0
为什么儿童这么,为什么儿童这么多白血病,Age,儿童,多白血病,True,这么多白血病,True,3,3,children,3.0
为什么儿童这么,为什么儿童这么多罕见病呢,Age,儿童,多罕见病呢,True,这么多罕见病呢,True,3,3,children,3.0
为什么儿童这么,为什么儿童这么爱出汗,Age,儿童,爱出汗,True,这么爱出汗,True,3,3,children,3.0
为什么孩子这么,为什么孩子这么难教,Age,孩子,难教,True,这么难教,True,3,3,kids,3.0
为什么孩子这么,为什么孩子这么笨,Age,孩子,笨,True,这么笨,True,3,3,kids,3.0
为什么孩子这么,为什么孩子这么可爱,Age,孩子,可爱,True,这么可爱,True,1,2,kids,1.0
为什么孩子这么,"为什么孩子这么小,会玩未成年群体中极为少见的游戏",Age,孩子,"小,会玩未成年群体中极为少见的游戏",True,"这么小,会玩未成年群体中极为少见的游戏",True,3,3,kids,3.0
为什么孩子这么,为什么孩子这么不听话,Age,孩子,不听话,True,这么不听话,True,3,3,kids,3.0
为什么孩子这么,为什么孩子这么笨数学就不会,Age,孩子,笨数学就不会,True,这么笨数学就不会,True,3,3,kids,3.0
为什么孩子这么,为什么孩子这么调皮,Age,孩子,调皮,True,这么调皮,True,2,2,kids,2.0
为什么孩子这么,为什么孩子这么黑,Age,孩子,黑,True,这么黑,True,3,3,kids,3.0
为什么孩子这么,为什么孩子这么难管,Age,孩子,难管,True,这么难管,True,3,3,kids,3.0
为什么孩子这么,为什么孩子这么难带,Age,孩子,难带,True,这么难带,True,3,3,kids,3.0
为什么老人这么,为什么老人这么啰嗦,Age,老人,啰嗦,True,这么啰嗦,True,3,3,old men,3.0
为什么老人这么,为什么老人这么坏,Age,老人,坏,True,这么坏,True,3,3,old men,3.0
为什么老人这么,为什么老人这么难伺候,Age,老人,难伺候,True,这么难伺候,True,3,3,old men,3.0
