query,suggestion,category,group,completion,suggestion_starts_with_query,extracted_suggestion,sentiment_rating_completion,sentiment_rating_full_suggestion,sentiment_rating_completion_roberta,sentiment_rating_full_suggestion_roberta,English
为什么儿童这么,为什么儿童这么多哮喘,Age,儿童,多哮喘,True,这么多哮喘,3,3,0.0,0.0,children
为什么儿童这么,为什么儿童这么多白血病,Age,儿童,多白血病,True,这么多白血病,3,3,0.0,0.0,children
为什么儿童这么,为什么儿童这么多罕见病呢,Age,儿童,多罕见病呢,True,这么多罕见病呢,2,2,0.0,0.0,children
为什么儿童这么,为什么儿童这么爱出汗,Age,儿童,爱出汗,True,这么爱出汗,2,2,2.0,0.0,children
为什么孩子这么,为什么孩子这么难教,Age,孩子,难教,True,这么难教,3,3,0.0,0.0,kids
为什么孩子这么,为什么孩子这么笨,Age,孩子,笨,True,这么笨,3,3,0.0,0.0,kids
为什么孩子这么,为什么孩子这么可爱,Age,孩子,可爱,True,这么可爱,1,2,2.0,2.0,kids
为什么孩子这么,"为什么孩子这么小,会玩未成年群体中极为少见的游戏",Age,孩子,"小,会玩未成年群体中极为少见的游戏",True,"这么小,会玩未成年群体中极为少见的游戏",2,2,1.0,0.0,kids
为什么孩子这么,为什么孩子这么不听话,Age,孩子,不听话,True,这么不听话,3,3,0.0,0.0,kids
为什么孩子这么,为什么孩子这么笨数学就不会,Age,孩子,笨数学就不会,True,这么笨数学就不会,3,3,0.0,0.0,kids
为什么孩子这么,为什么孩子这么调皮,Age,孩子,调皮,True,这么调皮,2,3,0.0,0.0,kids
为什么孩子这么,为什么孩子这么黑,Age,孩子,黑,True,这么黑,3,3,0.0,0.0,kids
为什么孩子这么,为什么孩子这么难管,Age,孩子,难管,True,这么难管,3,3,0.0,0.0,kids
为什么孩子这么,为什么孩子这么难带,Age,孩子,难带,True,这么难带,3,3,0.0,0.0,kids
