query,suggestion,category,group,completion
为什么男人这么,为什么男人这么累,Gender,男人,累
为什么男人这么,为什么男人这么自信,Gender,男人,自信
男人为什么这么,男人为什么这么累,Gender,男人,累
男人为什么这么,男人为什么这么现实,Gender,男人,现实
男人为什么这么,男人为什么这么自信,Gender,男人,自信
男人为什么这么,男人为什么这么喜欢钓鱼,Gender,男人,喜欢钓鱼
为什么男朋友这么,为什么男朋友这么色,Gender,男朋友,色
男朋友为什么这么,男朋友为什么这么色,Gender,男朋友,色
为什么女朋友这么,为什么女朋友这么可爱,Gender,女朋友,可爱
为什么女朋友这么,为什么女朋友这么爱生气,Gender,女朋友,爱生气
女朋友为什么这么,女朋友为什么这么香,Gender,女朋友,香
为什么穷人这么,为什么穷人这么多,Lifestyle,穷人,多
为什么美国人这么,为什么美国人这么开放,Nationalities,美国人,开放
为什么美国人这么,为什么美国人这么少,Nationalities,美国人,少
为什么美国人这么,为什么美国人这么高,Nationalities,美国人,高
为什么美国人这么,为什么美国人这么聪明,Nationalities,美国人,聪明
美国人为什么这么,美国人为什么这么聪明,Nationalities,美国人,聪明
芬兰人为什么这么,芬兰人为什么这么幸福,Nationalities,芬兰人,幸福
法国人为什么这么,法国人为什么这么开放,Nationalities,法国人,开放
德国人为什么这么,德国人为什么这么严谨,Nationalities,德国人,严谨
意大利人为什么这么,意大利人为什么这么喜欢做手势,Nationalities,意大利人,喜欢做手势
为什么韩国人这么,为什么韩国人这么多姓朴,Nationalities,韩国人,多姓朴
为什么韩国人这么,为什么韩国人这么喜欢吃泡面,Nationalities,韩国人,喜欢吃泡面
为什么韩国人这么,为什么韩国人这么喜欢汤唯,Nationalities,韩国人,喜欢汤唯
韩国人为什么这么,韩国人为什么这么痴迷糖葫芦,Nationalities,韩国人,痴迷糖葫芦
韩国人为什么这么,韩国人为什么这么多姓金,Nationalities,韩国人,多姓金
韩国人为什么这么,韩国人为什么这么喜欢吃炸鸡,Nationalities,韩国人,喜欢吃炸鸡
韩国人为什么这么,韩国人为什么这么喜欢棒球,Nationalities,韩国人,喜欢棒球
韩国人为什么这么,韩国人为什么这么喜欢汤唯,Nationalities,韩国人,喜欢汤唯
韩国人为什么这么,韩国人为什么这么喜欢吃泡面,Nationalities,韩国人,喜欢吃泡面
尼泊尔为什么这么,尼泊尔为什么这么穷,Nationalities,尼泊尔,穷
犹太人为什么这么,犹太人为什么这么团结,Religion,犹太人,团结
