query,category,group
why are Syrians so,Nationalities,Syrians
why are Turkish people so,Nationalities,Turkish people
why are Black fathers so,Peoples,Black fathers
why are Latinos so,Peoples,Latinos
why are Latin people so,Peoples,Latin people
why are Native Americans so,Peoples,Native Americans
why are White kids so,Peoples,White kids
why are White women so,Peoples,White women
why are Atheists so,Religion,Atheists
why are Buddhists so,Religion,Buddhists
why are bisexual people so,Sexual Orientation,bisexual people
why are gay people so,Sexual Orientation,gay people
